Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
LCCD.HC4,HC4,Hammer Cr. - HC4,40.174722,-76.255278,,Hammer Creek,below bridge and below sign at restoration project on Buch Mill Rd.,NAD83,Lancaster County,FALSE,below 2 miles of restoration work,42071,020503060903,Pennsylvania,
AWA.H,He,Henicle,39.734247,-77.540569,,Red Run,Henicle,NAD83,Franklin County,FALSE,,42055,020700041001,Pennsylvania,Potomac
GCWD.HEIRUN0.01,HEIRUN0.01,Heise Run 0.01,41.77267,-77.3549,,Marsh Creek-Pine Creek,Heise Run 0.01,NAD83,Tioga County,FALSE,n/a,42117,020502050303,Pennsylvania,West Branch Susquehanna
GCWD.HEIRUN1.68,HEIRUN1.68,Heise Run 1.68,41.75006667,-77.34817,,Marsh Creek-Pine Creek,Heise Run 1.68,NAD83,Tioga County,FALSE,n/a,42117,020502050303,Pennsylvania,West Branch Susquehanna
TUCCC.HEISRU001,HEISRU001,Heise Run,41.75663,-77.3503,,Marsh Creek-Pine Creek,Heise Run,NAD83,Tioga County,FALSE,,42117,020502050303,Pennsylvania,
TUCCC.HILLCR001,HILLCR001,Hills Creek,41.85645,-77.225265,,Hills Creek,Hills Creek,NAD83,Tioga County,FALSE,,42117,020501040605,Pennsylvania,
TUCCC.HOBARU001,HOBARU001,Hog Back Run,40.9531,-78.4892,,Curwensville Dam-West Branch Susquehanna River,Hog Back Run,NAD83,Clearfield County,FALSE,,42033,020502010408,Pennsylvania,
CCCD.HOGRUN0.98,HOGRUN0.98,Hogestown Run 0.98,40.244428,-77.033945,,Hogestown Run,Hogestown Run,NAD83,Cumberland County,FALSE,,42041,020503050405,Pennsylvania,Lower Susquehanna
CCSTA.HOGRUN0.98,HOGRUN0.98,Hogestown Run,40.244428,-77.033945,,Hogestown Run,,NAD83,Cumberland County,FALSE,,42041,020503050405,Pennsylvania,
TUCCC.HOOTRU001,HOOTRU001,Hootalink Run���,40.8967,-78.5531,,Little Clearfield Creek,Hootalink Run���,NAD83,Clearfield County,FALSE,,42033,020502010309,Pennsylvania,
TUCCC.HORTRU001,HORTRU001,Horsecamp Run of Dry Fork,41.616098,-77.874827,,East Fork Sinnemahoning Creek,Horsecamp Run of Dry Fork,NAD83,Potter County,FALSE,,42105,020502020405,Pennsylvania,
CCWA.HR00.1,HR00.1,Hogestown Run 00.1,40.251474,-77.022519,,Simmons Creek-Conodoguinet Creek,Hogestown Run 00.1,NAD83,Cumberland County,FALSE,,42041,020503050406,Pennsylvania,Lower Susquehanna
TUCCC.HUNTCR001,HUNTCR001,Huntington Creek,41.33417,-76.142778,,Headwaters Huntington Creek,Huntington Creek,NAD83,Luzerne County,FALSE,,42079,020501070501,Pennsylvania,
TUCCC.HUNTRU001,HUNTRU001,Hunts Run,41.45268,-78.1744,,Hunts Run,Hunts Run,NAD83,Cameron County,FALSE,,42023,020502020205,Pennsylvania,
TUCCC.HUNTRU002,HUNTRU002,Hunts Run,41.502896,-78.125208,,Hunts Run,Hunts Run,NAD83,Cameron County,FALSE,,42023,020502020205,Pennsylvania,
TUCCC.HUNTRU003,HUNTRU003,Hunts Run,41.47377,-78.15105,,Hunts Run,Hunts Run,NAD83,Cameron County,FALSE,,42023,020502020205,Pennsylvania,
AWA.IBR,IBR,Iron Bridges Rd,39.724881,-77.605128,,West Branch Antietam Creek,Iron Bridges Rd,NAD83,Franklin County,FALSE,,42055,020700041003,Pennsylvania,Potomac
TUCCC.JAMIRU001,JAMIRU001,Jamison Run,41.58625,-77.900065,,East Fork Sinnemahoning Creek,Jamison Run,NAD83,Potter County,FALSE,,42105,020502020405,Pennsylvania,
TUCCC.JEMICR001,JEMICR001,Jemison Creek,41.87222,-77.49222,,Jemison Creek,Jemison Creek,NAD83,Tioga County,FALSE,,42117,020501040804,Pennsylvania,
TUCCC.JEMICR002,JEMICR002,Jemison Creek,41.86802,-77.48842,,Jemison Creek,Jemison Creek,NAD83,Tioga County,FALSE,,42117,020501040804,Pennsylvania,
TUCCC.JOHNBR001,JOHNBR001,Johnson Brook,41.74325,-77.62094,,West Branch Pine Creek-Pine Creek,Johnson Brook,NAD83,Potter County,FALSE,,42105,020502050204,Pennsylvania,
JRRC.JOHRUN0.54,JOHRUN 0.54,,39.827579,-77.87694,,Lower West Branch Conococheague Creek,Johnston Run,NAD83,Franklin County,FALSE,,42055,020700040605,Pennsylvania,
JRRC.JOHRUN2.41,JOHRUN 2.41,,39.834038,-77.898473,,Lower West Branch Conococheague Creek,Johnston Run,NAD83,Franklin County,FALSE,,42055,020700040605,Pennsylvania,
