Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
NYWS.UNTELKCRE0.04,UNTELKCRE 0.04,,42.070445,-77.3001,,Elk Creek,Elk Creek,NAD83,Steuben County,FALSE,,36101,020501040305,New York,
NYWS.UNTGENCRE3.39,UNTGENCRE 3.39,,42.576139,-75.715942,,Headwaters Genegantslet Creek,New Michigan State Forest  stream,NAD83,Chenango County,FALSE,,36017,020501020701,New York,
NYWS.UNTGOFCRE2.15,UNTGOFCRE 2.15,,42.34174,-77.48431,,Goff Creek,David's stream,NAD83,Steuben County,FALSE,,36101,020501050105,New York,
NYWS.UNTHODCRE0.60,UNTHODCRE 0.60,,42.174488,-77.09934,,Hodgmans Creek-Cohocton River,Erwin Hollow Creek,NAD83,Steuben County,FALSE,,36101,020501050308,New York,
NYWS.UNTLITCHOCRE1.34,UNTLITCHOCRE 1.34,,42.132305,-75.975299,,Little Choconut Creek-Susquehanna River,Finch Hollow,NAD83,Broome County,FALSE,,36007,020501030201,New York,
NYWS.UNTLITCRE1.96,UNTLITCRE 1.96,,42.10903,-76.161328,,Little Nanticoke Creek,Little Nanticoke Creek @ Day Hollow,NAD83,Tioga County,FALSE,,36107,020501030502,New York,
NYWS.UNTMUDCRE1.83,UNTMUDCRE 1.83,,42.3787,-77.1825,,Mud Creek,Tributary of Mud Creek,NAD83,Steuben County,FALSE,,36101,020501050303,New York,
NYWS.UNTOTECRE0.30,UNTOTECRE 0.30,,42.657507,-75.058615,,Upper Otego Creek,Otego Creek,NAD83,Otsego County,FALSE,,36077,020501010502,New York,
OCCA.UNTOTSLAK0.37,UNTOTSLAK 0.37,""Trout Book"" 0.37,42.80672,-74.90287,,Hayden Creek-Ostego Lake,Mohican Farm,NAD83,Otsego County,FALSE,,36077,020501010603,New York,Upper Susquehanna
NYWS.UNTSUSRIV0.15,UNTSUSRIV 0.15,,42.07161,-75.641309,,Occanum Creek-Susquehanna River,Sanford Creek,NAD83,Broome County,FALSE,,36007,020501011208,New York,
NYWS.UNTSUSRIV0.31,UNTSUSRIV 0.31,,42.120168,-75.986746,,Patterson Creek-Susquehanna River,Gray Creek,NAD83,Broome County,FALSE,,36007,020501030205,New York,
OCCA.UNTSUSRIV0.81,UNTSUSRIV 0.81,""Hinman Hollow Brook"" 0.81,42.592681,-74.949535,,Red Creek-Susquehanna River,Across from Milford School at Brook Road,NAD83,Otsego County,FALSE,,36077,020501010604,New York,Upper Susquehanna
NYWS.UNTWBRACRE0.18,UNTWBRACRE 0.18,,42.289235,-76.253762,,Lower West Branch Owego Creek,Bridge on West Creek Rd,NAD83,Tioga County,FALSE,,36107,020501030408,New York,
NYWS.WALCRE0.92,WALCRE 0.92,,42.502402,-77.275783,,Middle Fivemile Creek,Waldo Creek @ CR77,NAD83,Steuben County,FALSE,,36101,020501050202,New York,
TUCCC.WBOWCR001,WBOWCR001,West Branch Owego Creek,42.18568,-76.24733,,Lower West Branch Owego Creek,West Branch Owego Creek,NAD83,Tioga County,FALSE,,36107,020501030408,New York,
TUCCC.WBOWCR002,WBOWCR002,West Branch Owego Creek,42.23278,-76.23418,,Lower West Branch Owego Creek,West Branch Owego Creek,NAD83,Tioga County,FALSE,,36107,020501030408,New York,
NYWS.WHICRE0.27,WHICRE 0.27,,42.119948,-77.021591,,Whisky Creek-Chemung River,Whisky Creek,NAD83,Steuben County,FALSE,,36101,020501050404,New York,
NYWS.WHICRE1.65,WHICRE 1.65,,42.109613,-77.039105,,Whisky Creek-Chemung River,Caton Creek,NAD83,Steuben County,FALSE,,36101,020501050404,New York,
